UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
oscread+  1181     1  1189  0    3 12:21 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      1183     1  1183  0    5 12:21 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1183     1  1184  0    5 12:21 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1183     1  1186  0    5 12:21 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1183     1  1187  0    5 12:21 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1183     1  1188  0    5 12:21 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
oscread+  1194     1  1194  0    2 12:21 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
oscread+  1194     1  1195  0    2 12:21 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
oscread+  1197     1  1197  0    4 12:21 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
oscread+  1197     1  1198  0    4 12:21 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
oscread+  1197     1  1200  0    4 12:21 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
oscread+  1197     1  1204  0    4 12:21 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
oscread+  1206     1  1206  0    2 12:21 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
oscread+  1206     1  1209  0    2 12:21 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
oscread+  1207     1  1207  0    3 12:21 ?        00:00:00 /usr/lib/telepathy/mission-control-5
oscread+  1207     1  1222  0    3 12:21 ?        00:00:00 /usr/lib/telepathy/mission-control-5
oscread+  1207     1  1225  0    3 12:21 ?        00:00:00 /usr/lib/telepathy/mission-control-5
oscread+  1211     1  1211  0    2 12:21 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
oscread+  1211     1  1213  0    2 12:21 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
oscread+  1215     1  1215  0    3 12:21 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
oscread+  1215     1  1216  0    3 12:21 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
oscread+  1215     1  1218  0    3 12:21 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
oscread+  1220  1043  1220  1    7 12:21 ?        00:00:27 /usr/bin/gnome-shell
oscread+  1220  1043  1230  0    7 12:21 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1220  1043  1249  0    7 12:21 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1220  1043  1252  0    7 12:21 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1220  1043  1253  0    7 12:21 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1220  1043  1254  0    7 12:21 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1220  1043  1255  0    7 12:21 ?        00:00:00 /usr/bin/gnome-shell
geoclue   1223     1  1223  0    2 12:21 ?        00:00:00 /usr/lib/geoclue-2.0/geoclue -t 5
geoclue   1223     1  1227  0    2 12:21 ?        00:00:00 /usr/lib/geoclue-2.0/geoclue -t 5
oscread+  1229     1  1229  0    2 12:21 ?        00:00:00 /usr/lib/gnome-settings-daemon/gsd-printer
oscread+  1229     1  1237  0    2 12:21 ?        00:00:00 /usr/lib/gnome-settings-daemon/gsd-printer
oscread+  1257     1  1257  0    5 12:21 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1257     1  1259  0    5 12:21 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1257     1  1269  0    5 12:21 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1257     1  1270  0    5 12:21 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1257     1  1314  0    5 12:21 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1261     1  1261  0    3 12:21 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
oscread+  1261     1  1262  0    3 12:21 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
oscread+  1261     1  1264  0    3 12:21 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
oscread+  1271  1043  1271  0    5 12:21 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1271  1043  1354  0    5 12:21 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1271  1043  1368  0    5 12:21 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1271  1043  1370  0    5 12:21 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1271  1043  1371  0    5 12:21 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1272  1043  1272  0    3 12:21 ?        00:00:00 nm-applet
oscread+  1272  1043  1291  0    3 12:21 ?        00:00:00 nm-applet
oscread+  1272  1043  1323  0    3 12:21 ?        00:00:00 nm-applet
oscread+  1274  1043  1274  0    3 12:21 ?        00:00:00 /usr/lib/tracker/tracker-miner-user-guides
oscread+  1274  1043  1417  0    3 12:21 ?        00:00:00 /usr/lib/tracker/tracker-miner-user-guides
oscread+  1274  1043  1423  0    3 12:21 ?        00:00:00 /usr/lib/tracker/tracker-miner-user-guides
oscread+  1284  1043  1284  0    4 12:21 ?        00:00:00 nautilus -n
oscread+  1284  1043  1341  0    4 12:21 ?        00:00:00 nautilus -n
oscread+  1284  1043  1346  0    4 12:21 ?        00:00:00 nautilus -n
oscread+  1284  1043  1369  0    4 12:21 ?        00:00:00 nautilus -n
oscread+  1289     1  1289  0    8 12:21 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1289     1  1307  0    8 12:21 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1289     1  1309  0    8 12:21 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1289     1  1311  0    8 12:21 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1289     1  1359  0    8 12:21 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1289     1  1360  0    8 12:21 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1289     1  1361  0    8 12:21 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1289     1  1362  0    8 12:21 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1304  1043  1304  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1304  1043  1329  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1304  1043  1331  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1304  1043  1339  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1304  1043  1399  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1304  1043  1400  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1304  1043  1401  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1304  1043  1402  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1304  1043  1403  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1304  1043  1404  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1304  1043  1405  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1304  1043  1406  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1304  1043  1407  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1304  1043  1408  0   14 12:21 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1312  1043  1312  0    4 12:21 ?        00:00:00 zeitgeist-datahub
oscread+  1312  1043  1319  0    4 12:21 ?        00:00:00 zeitgeist-datahub
oscread+  1312  1043  1344  0    4 12:21 ?        00:00:00 zeitgeist-datahub
oscread+  1312  1043  1345  0    4 12:21 ?        00:00:00 zeitgeist-datahub
oscread+  1315  1043  1315  0    4 12:21 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1315  1043  1330  0    4 12:21 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1315  1043  1332  0    4 12:21 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1315  1043  1340  0    4 12:21 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1317     1  1317  0    6 12:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1317     1  1372  0    6 12:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1317     1  1380  0    6 12:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1317     1  1381  0    6 12:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1317     1  1382  0    6 12:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1317     1  1384  0    6 12:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
